m,n_team,k,rule,seed,ok,runtime
3,2,3,borda,1,True,0.0002397999633103609
3,2,3,borda,2,False,5.810009315609932e-05
3,2,3,borda,3,False,5.369982682168484e-05
3,2,3,borda,4,True,0.00013420009054243565
3,2,3,borda,5,True,0.0001501999795436859
3,2,3,borda,6,False,7.260008715093136e-05
3,2,3,borda,7,False,5.8999983593821526e-05
3,2,3,borda,8,False,5.3099822252988815e-05
3,2,3,borda,9,False,5.970010533928871e-05
3,2,3,borda,10,False,5.979998968541622e-05
3,2,3,borda,11,True,0.00019619986414909363
3,2,3,borda,12,False,0.0001026000827550888
3,2,3,borda,13,True,0.00015940004959702492
3,2,3,borda,14,False,8.349982090294361e-05
3,2,3,borda,15,True,0.0001601001713424921
3,2,3,borda,16,False,6.149988621473312e-05
3,2,3,borda,17,True,0.00022700009867548943
3,2,3,borda,18,False,6.240000948309898e-05
3,2,3,borda,19,False,6.849993951618671e-05
3,2,3,borda,20,False,5.370005965232849e-05
3,2,3,borda,21,False,5.530007183551788e-05
3,2,3,borda,22,True,0.00013729999773204327
3,2,3,borda,23,False,0.00012529990635812283
3,2,3,borda,24,False,5.119992420077324e-05
3,2,3,borda,25,False,8.390005677938461e-05
3,2,3,borda,26,False,8.830009028315544e-05
3,2,3,borda,27,False,7.680011913180351e-05
3,2,3,borda,28,True,0.000332399969920516
3,2,3,borda,29,False,5.5499840527772903e-05
3,2,3,borda,30,False,5.5499840527772903e-05
3,2,3,borda,31,False,5.429983139038086e-05
3,2,3,borda,32,False,8.179992437362671e-05
3,2,3,borda,33,False,5.579995922744274e-05
3,2,3,borda,34,False,5.879998207092285e-05
3,2,3,borda,35,False,5.5900076404213905e-05
3,2,3,borda,36,False,7.00000673532486e-05
3,2,3,borda,37,False,5.230004899203777e-05
3,2,3,borda,38,True,0.00012960005551576614
3,2,3,borda,39,False,5.070003680884838e-05
3,2,3,borda,40,True,0.00014110002666711807
3,2,3,borda,41,False,0.0001029998529702425
3,2,3,borda,42,False,5.519995465874672e-05
3,2,3,borda,43,False,9.04998742043972e-05
3,2,3,borda,44,False,5.619996227324009e-05
3,2,3,borda,45,False,6.160000339150429e-05
3,2,3,borda,46,True,0.00018199998885393143
3,2,3,borda,47,False,5.510007031261921e-05
3,2,3,borda,48,True,0.00020199990831315517
3,2,3,borda,49,True,0.00019919988699257374
3,2,4,plurality,0,False,5.610007792711258e-05
3,2,4,plurality,1,True,0.0001275001559406519
3,2,4,plurality,2,False,5.819997750222683e-05
3,2,4,plurality,3,False,5.9999991208314896e-05
3,2,4,plurality,4,True,0.00013669999316334724
3,2,4,plurality,5,True,0.00016999989748001099
3,2,4,plurality,6,False,5.9200217947363853e-05
3,2,4,plurality,7,False,6.490014493465424e-05
3,2,4,plurality,8,False,6.079999729990959e-05
3,2,4,plurality,9,False,5.9499870985746384e-05
3,2,4,plurality,10,False,5.659996531903744e-05
3,2,4,plurality,11,True,0.00025359983555972576
3,2,4,plurality,12,False,9.25001222640276e-05
3,2,4,plurality,13,True,0.0001596999354660511
3,2,4,plurality,14,False,5.310005508363247e-05
3,2,4,plurality,15,True,0.00013770000077784061
3,2,4,plurality,16,False,6.689992733299732e-05
3,2,4,plurality,17,True,0.00013860012404620647
3,2,4,plurality,18,False,8.779997006058693e-05
3,2,4,plurality,19,False,6.160000339150429e-05
3,2,4,plurality,20,False,5.719996988773346e-05
3,2,4,plurality,21,False,0.00010160007514059544
3,2,4,plurality,22,True,0.00014510005712509155
3,2,4,plurality,23,False,5.8499863371253014e-05
3,2,4,plurality,24,False,6.560003384947777e-05
3,2,4,plurality,25,False,6.620003841817379e-05
3,2,4,plurality,26,False,5.450006574392319e-05
3,2,4,plurality,27,False,5.350005812942982e-05
3,2,4,plurality,28,True,0.00013180007226765156
3,2,4,plurality,29,False,6.230012513697147e-05
3,2,4,plurality,30,False,6.909994408488274e-05
3,2,4,plurality,31,False,8.279993198812008e-05
3,2,4,plurality,32,False,5.7499855756759644e-05
3,2,4,plurality,33,False,0.00010700011625885963
3,2,4,plurality,34,False,7.429998368024826e-05
3,2,4,plurality,35,False,6.440002471208572e-05
3,2,4,plurality,36,False,6.580003537237644e-05
3,2,4,plurality,37,False,7.149996235966682e-05
3,2,4,plurality,38,True,0.00015609990805387497
3,2,4,plurality,39,False,7.940013892948627e-05
3,2,4,plurality,40,True,0.0002498000394552946
3,2,4,plurality,41,False,6.480002775788307e-05
3,2,4,plurality,42,False,6.289989687502384e-05
3,2,4,plurality,43,False,5.6499848142266273e-05
3,2,4,plurality,44,False,5.449983291327953e-05
3,2,4,plurality,45,False,5.75000885874033e-05
3,2,4,plurality,46,True,0.00013160007074475288
3,2,4,plurality,47,False,5.879998207092285e-05
3,2,4,plurality,48,True,0.00014830008149147034
3,2,4,plurality,49,True,0.00017429981380701065
3,2,4,2-approval,0,False,6.170012056827545e-05
3,2,4,2-approval,1,True,0.00014279992319643497
3,2,4,2-approval,2,False,5.929986946284771e-05
3,2,4,2-approval,3,False,7.939990609884262e-05
3,2,4,2-approval,4,True,0.00017140014097094536
3,2,4,2-approval,5,True,0.0001534000039100647
3,2,4,2-approval,6,False,5.450006574392319e-05
3,2,4,2-approval,7,False,8.579995483160019e-05
3,2,4,2-approval,8,False,6.569991819560528e-05
3,2,4,2-approval,9,False,5.6900084018707275e-05
3,2,4,2-approval,10,False,6.489991210401058e-05
3,2,4,2-approval,11,True,0.00015670014545321465
3,2,4,2-approval,12,False,6.220000796020031e-05
3,2,4,2-approval,13,True,0.0002319000195711851
3,2,4,2-approval,14,False,5.310005508363247e-05
3,2,4,2-approval,15,True,0.0001309998333454132
3,2,4,2-approval,16,False,5.50001859664917e-05
3,2,4,2-approval,17,True,0.00017700018361210823
3,2,4,2-approval,18,False,5.870009772479534e-05
3,2,4,2-approval,19,False,5.729985423386097e-05
3,2,4,2-approval,20,False,6.340001709759235e-05
3,2,4,2-approval,21,False,5.449983291327953e-05
3,2,4,2-approval,22,True,0.00013159983791410923
3,2,4,2-approval,23,False,5.9399986639618874e-05
3,2,4,2-approval,24,False,8.479994721710682e-05
3,2,4,2-approval,25,False,9.979982860386372e-05
3,2,4,2-approval,26,False,5.679996684193611e-05
3,2,4,2-approval,27,False,5.769985727965832e-05
3,2,4,2-approval,28,True,0.00021650013513863087
3,2,4,2-approval,29,False,5.819997750222683e-05
3,2,4,2-approval,30,False,6.520003080368042e-05
3,2,4,2-approval,31,False,5.879998207092285e-05
3,2,4,2-approval,32,False,5.9399986639618874e-05
3,2,4,2-approval,33,False,6.180000491440296e-05
3,2,4,2-approval,34,False,5.789985880255699e-05
3,2,4,2-approval,35,False,5.9999991208314896e-05
3,2,4,2-approval,36,False,6.400002166628838e-05
3,2,4,2-approval,37,False,5.450006574392319e-05
3,2,4,2-approval,38,True,0.0001300000585615635
3,2,4,2-approval,39,False,5.539995618164539e-05
3,2,4,2-approval,40,True,0.00018569990061223507
3,2,4,2-approval,41,False,8.439994417130947e-05
3,2,4,2-approval,42,False,0.00016239983960986137
3,2,4,2-approval,43,False,6.149988621473312e-05
3,2,4,2-approval,44,False,7.519987411797047e-05
3,2,4,2-approval,45,False,7.160007953643799e-05
3,2,4,2-approval,46,True,0.0001642999704927206
3,2,4,2-approval,47,False,6.949994713068008e-05
3,2,4,2-approval,48,True,0.000161800067871809
3,2,4,2-approval,49,True,0.0002870000898838043
3,2,4,veto,0,False,5.619996227324009e-05
3,2,4,veto,1,True,0.00025569996796548367
3,2,4,veto,2,False,5.8499863371253014e-05
3,2,4,veto,3,False,5.6499848142266273e-05
3,2,4,veto,4,True,0.00015569990500807762
3,2,4,veto,5,True,0.00013739988207817078
3,2,4,veto,6,False,5.91999851167202e-05
3,2,4,veto,7,False,6.469991058111191e-05
3,2,4,veto,8,False,5.530007183551788e-05
3,2,4,veto,9,False,5.9999991208314896e-05
3,2,4,veto,10,False,6.880005821585655e-05
3,2,4,veto,11,True,0.00014130002819001675
3,2,4,veto,12,False,7.069995626807213e-05
3,2,4,veto,13,True,0.00015709991566836834
3,2,4,veto,14,False,8.110003545880318e-05
3,2,4,veto,15,True,0.00026750005781650543
3,2,4,veto,16,False,8.179992437362671e-05
3,2,4,veto,17,True,0.00017850007861852646
3,2,4,veto,18,False,6.029987707734108e-05
3,2,4,veto,19,False,6.0999998822808266e-05
3,2,4,veto,20,False,5.7399971410632133e-05
3,2,4,veto,21,False,7.420009933412075e-05
3,2,4,veto,22,True,0.0001735000405460596
3,2,4,veto,23,False,8.759996853768826e-05
3,2,4,veto,24,False,8.390005677938461e-05
3,2,4,veto,25,False,5.9300102293491364e-05
3,2,4,veto,26,False,5.879998207092285e-05
3,2,4,veto,27,False,7.609999738633633e-05
3,2,4,veto,28,True,0.00021379999816417694
3,2,4,veto,29,False,5.330005660653114e-05
3,2,4,veto,30,False,5.8300094678997993e-05
3,2,4,veto,31,False,9.729992598295212e-05
3,2,4,veto,32,False,6.069988012313843e-05
3,2,4,veto,33,False,5.979998968541622e-05
3,2,4,veto,34,False,9.58999153226614e-05
3,2,4,veto,35,False,0.00011150003410875797
3,2,4,veto,36,False,6.720004603266716e-05
