m,n_team,rule,seed,ok,runtime
3,3,2-approval,20,False,0.00013180007226765156
3,3,2-approval,21,False,0.00023719994351267815
3,3,2-approval,22,True,0.0001417999155819416
3,3,2-approval,23,False,9.240000508725643e-05
3,3,2-approval,24,False,9.099999442696571e-05
3,3,2-approval,25,False,9.729992598295212e-05
3,3,2-approval,26,False,7.890001870691776e-05
3,3,2-approval,27,True,0.0001221001148223877
3,3,2-approval,28,True,0.00015789992175996304
3,3,2-approval,29,True,0.00011079991236329079
3,3,2-approval,30,False,0.00011300016194581985
3,3,2-approval,31,False,8.25999304652214e-05
3,3,2-approval,32,False,7.100007496774197e-05
3,3,2-approval,33,False,0.00011250004172325134
3,3,2-approval,34,False,0.000108000123873353
3,3,2-approval,35,False,7.269997149705887e-05
3,3,2-approval,36,False,0.00011779996566474438
3,3,2-approval,37,False,0.00012969993986189365
3,3,2-approval,38,False,0.00010320008732378483
3,3,2-approval,39,False,0.00019959989003837109
3,3,2-approval,40,False,0.00013560010120272636
3,3,2-approval,41,False,7.740012370049953e-05
3,3,2-approval,42,True,0.00023179990239441395
3,3,2-approval,43,False,9.070010855793953e-05
3,3,2-approval,44,False,0.00014779996126890182
3,3,2-approval,45,False,0.0001230998896062374
3,3,2-approval,46,True,0.00034220004454255104
3,3,2-approval,47,False,6.860005669295788e-05
3,3,2-approval,48,False,9.169988334178925e-05
3,3,2-approval,49,False,6.780005060136318e-05
3,3,veto,0,False,9.210011921823025e-05
3,3,veto,1,False,6.900005973875523e-05
3,3,veto,2,False,0.00011109979823231697
3,3,veto,3,False,0.00017020013183355331
3,3,veto,4,True,0.00023150001652538776
3,3,veto,5,True,0.00012980005703866482
3,3,veto,6,False,8.950009942054749e-05
3,3,veto,7,False,0.00013970001600682735
3,3,veto,8,False,0.00025519984774291515
3,3,veto,9,True,0.00032350001856684685
3,3,veto,10,False,0.00010489998385310173
3,3,veto,11,True,0.00026359991170465946
3,3,veto,12,False,0.00011630007065832615
3,3,veto,13,True,0.00010540010407567024
3,3,veto,14,False,0.00011159991845488548
3,3,veto,15,False,0.00016409996896982193
3,3,veto,16,False,7.190019823610783e-05
3,3,veto,17,False,0.00014359992928802967
3,3,veto,18,False,8.010002784430981e-05
3,3,veto,19,False,0.00014379993081092834
3,3,veto,20,False,0.00014279992319643497
3,3,veto,21,False,0.0003693997859954834
3,3,veto,22,True,0.0002125999890267849
3,3,veto,23,False,7.559987716376781e-05
3,3,veto,24,False,0.00012729992158710957
3,3,veto,25,False,0.0002383999526500702
3,3,veto,26,False,0.00016489997506141663
3,3,veto,27,True,0.0002617000136524439
3,3,veto,28,True,0.0005238999146968126
3,3,veto,29,True,0.0002482999116182327
3,3,veto,30,False,0.0001526998821645975
3,3,veto,31,False,0.0001275001559406519
3,3,veto,32,False,0.00010950001887977123
3,3,veto,33,False,0.00012340000830590725
3,3,veto,34,False,7.750000804662704e-05
3,3,veto,35,False,0.0001634000800549984
3,3,veto,36,False,0.00031189993023872375
3,3,veto,37,False,0.00011730007827281952
3,3,veto,38,False,0.00012660003267228603
3,3,veto,39,False,0.0001495999749749899
3,3,veto,40,False,0.00017729983665049076
3,3,veto,41,False,7.41998665034771e-05
3,3,veto,42,True,0.0002209001686424017
3,3,veto,43,False,7.609999738633633e-05
3,3,veto,44,False,0.00019980012439191341
3,3,veto,45,False,7.580011151731014e-05
3,3,veto,46,True,0.00016649998724460602
3,3,veto,47,False,0.00013979990035295486
3,3,veto,48,False,0.00017770007252693176
3,3,veto,49,False,0.0001876000314950943
3,3,borda,0,False,9.620003402233124e-05
3,3,borda,1,False,0.00015680002979934216
3,3,borda,2,False,0.0001276000402867794
3,3,borda,3,False,0.00016240007244050503
3,3,borda,4,True,0.00044689979404211044
3,3,borda,5,True,0.0002498000394552946
3,3,borda,6,False,0.00015059998258948326
3,3,borda,7,True,0.00025400007143616676
3,3,borda,8,False,7.24999699741602e-05
3,3,borda,9,True,0.00024550012312829494
3,3,borda,10,False,0.00010240008123219013
3,3,borda,11,True,0.00016469997353851795
3,3,borda,12,False,7.890001870691776e-05
3,3,borda,13,True,0.0001362999901175499
3,3,borda,14,False,0.00011729984544217587
3,3,borda,15,False,6.529991514980793e-05
3,3,borda,16,False,5.810009315609932e-05
3,3,borda,17,False,6.420002318918705e-05
3,3,borda,18,False,8.690007962286472e-05
3,3,borda,19,False,0.00011000013910233974
3,3,borda,20,False,0.00019829999655485153
3,3,borda,21,False,0.00017600017599761486
3,3,borda,22,True,0.00013200007379055023
3,3,borda,23,False,9.740004315972328e-05
3,3,borda,24,False,9.380001574754715e-05
3,3,borda,25,False,6.329989992082119e-05
3,3,borda,26,False,0.00013489997945725918
3,3,borda,27,True,0.00013240007683634758
3,3,borda,28,True,0.0001278999261558056
3,3,borda,29,True,0.00011000013910233974
3,3,borda,30,False,6.250012665987015e-05
3,3,borda,31,False,6.7500164732337e-05
3,3,borda,32,False,6.800005212426186e-05
3,3,borda,33,False,0.00013759988360106945
3,3,borda,34,False,6.710016168653965e-05
3,3,borda,35,False,6.780005060136318e-05
3,3,borda,36,False,6.7099928855896e-05
3,3,borda,37,False,0.00010850001126527786
3,3,borda,38,False,0.00011600018478929996
3,3,borda,39,False,0.0001408001407980919
3,3,borda,40,False,7.489998824894428e-05
3,3,borda,41,False,0.0001409000251442194
3,3,borda,42,True,0.00011309981346130371
3,3,borda,43,False,7.040007039904594e-05
3,3,borda,44,False,0.0001417999155819416
3,3,borda,45,False,9.689992293715477e-05
3,3,borda,46,True,0.00023470004089176655
3,3,borda,47,False,7.500010542571545e-05
3,3,borda,48,False,7.060007192194462e-05
3,3,borda,49,False,6.010010838508606e-05
3,4,plurality,0,False,6.740004755556583e-05
3,4,plurality,1,False,7.010018453001976e-05
3,4,plurality,2,False,9.939982555806637e-05
3,4,plurality,3,False,8.5500068962574e-05
3,4,plurality,4,False,9.460002183914185e-05
3,4,plurality,5,False,7.280008867383003e-05
3,4,plurality,6,False,9.480002336204052e-05
3,4,plurality,7,False,7.429998368024826e-05
3,4,plurality,8,False,0.00013149995356798172
3,4,plurality,9,False,0.00022959988564252853
3,4,plurality,10,True,0.00019020005129277706
3,4,plurality,11,False,8.999998681247234e-05
3,4,plurality,12,False,0.00016920012421905994
3,4,plurality,13,False,7.970002479851246e-05
3,4,plurality,14,True,0.00010199984535574913
3,4,plurality,15,False,0.00011000013910233974
3,4,plurality,16,False,0.000362900085747242
3,4,plurality,17,False,6.700004450976849e-05
3,4,plurality,18,False,0.00015660002827644348
3,4,plurality,19,False,8.050003089010715e-05
3,4,plurality,20,False,7.770000956952572e-05
3,4,plurality,21,True,9.820004925131798e-05
3,4,plurality,22,False,6.520003080368042e-05
3,4,plurality,23,False,8.110003545880318e-05
3,4,plurality,24,False,0.00012779980897903442
3,4,plurality,25,False,7.890001870691776e-05
3,4,plurality,26,False,6.570015102624893e-05
3,4,plurality,27,False,8.239992894232273e-05
3,4,plurality,28,True,0.00014859996736049652
3,4,plurality,29,False,0.00013810000382363796
3,4,plurality,30,False,0.00014519994147121906
3,4,plurality,31,False,0.00024640001356601715
3,4,plurality,32,False,6.129988469183445e-05
3,4,plurality,33,False,6.3000014051795e-05
3,4,plurality,34,False,6.329989992082119e-05
3,4,plurality,35,False,6.409990601241589e-05
3,4,plurality,36,False,0.00013079983182251453
3,4,plurality,37,True,0.00019429996609687805
3,4,plurality,38,False,0.00011190003715455532
3,4,plurality,39,False,9.769992902874947e-05
3,4,plurality,40,False,0.00016089994460344315
3,4,plurality,41,True,0.0001938999630510807
3,4,plurality,42,False,0.0002756998874247074
3,4,plurality,43,False,0.0001906000543385744
3,4,plurality,44,False,6.890017539262772e-05
3,4,plurality,45,False,6.529991514980793e-05
3,4,plurality,46,False,0.0001012999564409256
3,4,plurality,47,True,0.00011790008284151554
3,4,plurality,48,False,6.620003841817379e-05
3,4,plurality,49,False,0.00010810000821948051
3,4,2-approval,0,False,0.00011879997327923775
3,4,2-approval,1,False,0.00010580010712146759
3,4,2-approval,2,False,0.00011390005238354206
3,4,2-approval,3,False,0.00010540010407567024
3,4,2-approval,4,False,0.0001200998667627573
3,4,2-approval,5,False,0.0001368001103401184
3,4,2-approval,6,False,9.020022116601467e-05
3,4,2-approval,7,False,0.00012500002048909664
3,4,2-approval,8,False,0.00010160007514059544
3,4,2-approval,9,True,0.00023230002261698246
3,4,2-approval,10,True,0.00013810000382363796
3,4,2-approval,11,False,0.00010460009798407555
3,4,2-approval,12,False,6.700004450976849e-05
3,4,2-approval,13,False,0.00031669996678829193
3,4,2-approval,14,True,0.0002866999711841345
3,4,2-approval,15,False,8.850009180605412e-05
3,4,2-approval,16,False,0.0001137999352067709
3,4,2-approval,17,False,9.180000051856041e-05
3,4,2-approval,18,False,7.099984213709831e-05
3,4,2-approval,19,False,7.149996235966682e-05
3,4,2-approval,20,False,0.00018410012125968933
3,4,2-approval,21,True,0.00014739995822310448
3,4,2-approval,22,False,7.589999586343765e-05
3,4,2-approval,23,False,0.00012079998850822449
3,4,2-approval,24,False,0.00018649990670382977
